Date	Ave. tempareture (C)	Highest tempareture (C)	Lowest tempareture (C) 	Precipitation (mm)	Day length (hours)	Ave. wind (m/s)	Maximum wind (m/s)	Maximum instantaneous wind (m/s)	
								
2024/1/1	8.6	12.2	2.6	0	9.1	1.8	4.1	9.7
2024/1/2	4.6	7.3	1.2	0	0.6	0.7	2	4
2024/1/3	6	10.4	0.1	0	0.4	0.9	2.1	3.6
2024/1/4	8.7	15.1	2.6	0	7.1	1.4	5.6	11.6
2024/1/5	5.7	14.8	-0.9	0	9.2	1	2.9	4.7
2024/1/6	7.4	16.4	0.3	0	9.1	0.8	1.8	3.2
2024/1/7	6.6	11.4	0.8	0	5.7	1.4	3.8	8.8
2024/1/8	4.6	9.9	-0.6	0	9.3	1.3	3.2	7.6
2024/1/9	4	11.9	-2.1	0	8.9	1	2.9	6.5
2024/1/10	6	12.9	-0.8	0	7.6	1.5	3.1	7.2
2024/1/11	3.6	7.9	-1.5	0	0.6	1.3	2.9	7
2024/1/12	5.4	14.6	-4.4	0	9.3	0.9	2.1	4
2024/1/13	4	11.5	-0.1	0.5	5.8	1.6	4.1	10.9
2024/1/14	4.7	11.1	-3.5	0	9.4	2.6	6.8	12.5
2024/1/15	4.9	11.8	-1.6	0	8.1	1.8	4.8	11.4
2024/1/16	3.5	7.2	-0.7	0	9.5	2.5	6.1	15.3
2024/1/17	4.4	12	-2.3	0	9.3	1	2.4	5
2024/1/18	7.5	14.9	-1.1	0	6.2	0.8	2.1	3.8
2024/1/19	9.6	14.6	5.1	0	7.2	1.4	3.7	6.2
2024/1/20	5.5	7.5	4.2	5	0	1.5	2.6	5.5
2024/1/21	8.9	14.3	4.4	33.5	1.4	1.6	3.4	8.4
2024/1/22	9.5	13.3	4	0	2.9	1.5	4.2	6.3
2024/1/23	7.7	13	2.5	0	5.7	1.3	3.6	8.3
2024/1/24	3.3	6.7	-0.9	0	4.1	1.5	3.4	7.8
2024/1/25	2.4	9.3	-5.6	0	9.6	1.3	2.9	7.2
2024/1/26	4.5	12	-2.7	0	9.7	1.8	4	10.4
2024/1/27	6.8	12.4	3.3	0	9.4	1.9	4.4	8.8
2024/1/28	4.5	9.4	-1.1	0	1.6	0.9	2.4	4.3
2024/1/29	5.6	11.1	-0.8	0	9.8	1	3.7	6.3
2024/1/30	6.3	12.6	0.5	0	9.4	1	2.6	5
2024/1/31	7.8	14.6	-0.1	0	9.7	1.2	3.1	6.4
2024/2/1	8.7	16.3	3.7	0	6.9	1.5	3.4	9.3
2024/2/2	4.2	6.6	2.7	0	2.1	1.6	3.6	7.8
2024/2/3	6.7	11.1	3	0	9.1	1.5	3.2	7.6
2024/2/4	4.5	7.4	2	2	0	0.8	2.4	4.6
2024/2/5	2.1	5.2	0.1	32.5	0	1.1	3.2	10.5
2024/2/6	3.1	5.7	0.8	1.5	0	1	2.9	6.1
2024/2/7	3.4	8.6	-1.8	0	8.9	0.8	2.1	4.1
2024/2/8	4.8	10.4	-2	0	8.1	1.2	2.9	6.7
2024/2/9	5.2	10.1	-0.6	0	7.2	0.9	3.1	6.7
2024/2/10	6.1	12	-1	0	8.5	1.2	3.1	5.8
2024/2/11	6.7	11.7	0.3	0	7.3	1.3	4	6.8
2024/2/12	6.6	12.8	1.6	0	9.6	1.4	3.9	9.2
2024/2/13	7.8	17.7	-1.8	0	10.2	1.1	5.1	10.1
2024/2/14	9.7	18.3	-0.2	0	8.6	1	3.4	5.4
2024/2/15	13.3	20.4	3.4	0	7	3.4	8.1	14.5
2024/2/16	10.3	16.4	6	0	8.5	2.9	5.4	13.8
2024/2/17	8.3	11.5	3.9	0	0.4	1.1	2.8	5.4
2024/2/18	12.2	17.5	7.8	0	5.5	1.8	4.6	8.6
2024/2/19	14.3	16.8	10.7	4	0	4.2	8.7	16.4
2024/2/20	17.9	24.2	12.3	0	5	2.2	7	12.1
2024/2/21	8.5	12.4	7.1	4.5	0	1.5	3.7	7.6
2024/2/22	5.2	7.6	3.4	6	0	1.7	3.5	6.3
2024/2/23	2.3	3.7	1.2	5.5	0	1.6	3.1	6.2
2024/2/24	4.8	9.7	-0.1	0	9.5	1.4	3.3	6.6
2024/2/25	3.8	4.9	2.3	8	0	1.5	2.7	6.2
2024/2/26	7.7	12.2	4.7	1	10.5	2.4	5.4	11.9
2024/2/27	7	11	4.2	0	10.6	3.5	6.4	14.4
2024/2/28	8	15.3	2.6	0	10.5	1.8	3.6	7.7
2024/2/29	6.4	10.4	1.6	5	2.6	1.2	3.3	5.3
2024/3/1	9.1	16.8	3	15.5	5.5	1.7	3.7	8.3
2024/3/2	5.7	8.8	2.6	0	3.3	1.7	3.1	8.9
2024/3/3	6.5	12.6	-0.3	0	10.6	1.8	5.3	9
2024/3/4	7.9	14.5	0.5	0	10.8	1.6	3.2	7.2
2024/3/5	5.1	8.3	0.6	17	0	1.3	3.2	7.1
2024/3/6	5.7	10.6	0.6	10.5	1	2.1	3.5	8.1
2024/3/7	6.6	9.5	4.7	0.5	3.4	2.2	3.9	9.1
2024/3/8	4.6	9.5	0.2	12.5	5.1	1.1	2.7	6.6
2024/3/9	5.6	11.3	0.2	0	10.9	1.9	5.6	13.7
2024/3/10	5.7	12.2	-0.6	0	10.8	1.6	3.4	7.9
2024/3/11	6.7	13.2	-1.1	0	8.9	1.6	4.4	7.3
2024/3/12	6.7	9.3	5.4	28.5	0	1.3	3.5	9.2
2024/3/13	9.2	13.7	4.4	0	10.1	2.5	6	13.6
2024/3/14	8.7	14.5	1.2	0	11.2	1.8	4	7.9
2024/3/15	10.2	15.9	2	0	11.3	2.4	6	11
2024/3/16	13.2	20.6	5.3	0	11.1	2.1	5.3	8.8
2024/3/17	14.4	21.1	6	0	7.8	2.7	8.2	14.2
2024/3/18	9.2	13.9	5	0	11.5	3	5.3	14.8
2024/3/19	7.8	12.1	3.9	0	5	2.4	5.8	9.6
2024/3/20	7	14.4	0.4	1.5	6.6	2.3	6.2	14.3
2024/3/21	5.9	11	2.1	0	10.9	2.8	5.1	13
2024/3/22	5.9	12	-1.1	0	11.5	1.4	3.7	10
2024/3/23	5.5	10.3	0.4	0	2.4	1	2.8	5.2
2024/3/24	9.3	14.3	1.5	0.5	0.3	1.3	3.5	5.9
2024/3/25	10.9	12.3	9.7	4.5	0	0.7	1.9	4.5
2024/3/26	9	11.2	6.5	38	0	1.5	2.9	9.1
2024/3/27	10.5	16.1	3.8	0	10.5	1.7	4.3	10.9
2024/3/28	9.6	13.3	5.9	16	0.1	1.6	4.6	7.3
2024/3/29	16.4	22.4	11.1	59	4	4	9.5	16.5
2024/3/30	17	24	9.8	0	10.4	1.5	3.7	6.3
2024/3/31	18.7	28.6	9.5	0	10	1.7	4.7	8.6
2024/4/1	14.2	18.8	10.6	2.5	2.8	1.6	3.9	6.5
2024/4/2	13.1	18.3	5.8	0	10.7	2.1	5.5	10.4
2024/4/3	12.1	14.4	10.4	9	0	0.9	1.8	4.8
2024/4/4	14.9	18.5	10.6	1.5	0.1	1.1	2.5	6
2024/4/5	10.5	15.1	8.9	1	0	1.4	2.9	5.2
2024/4/6	12.7	16.5	9.3	0	0.1	1.1	2.7	5.7
2024/4/7	16.8	22.4	12.3	0	8.1	1.5	4.1	6.9
2024/4/8	18.3	22.4	14.2	0	1.1	1.5	3.6	5.8
2024/4/9	15.2	19.7	9.4	42	0	2.3	9	16.7
2024/4/10	11.2	16.5	6.3	0	12.2	2.5	4.4	9.1
2024/4/11	12.9	18.4	5.9	0	9.1	1.8	4.1	7.5
2024/4/12	14.8	18.6	11.5	0	3	1.4	3.3	7.6
2024/4/13	16	23	8.9	0	11.1	1.8	4.8	8.2
2024/4/14	17.4	24.6	10.8	0	11.8	1.9	4.6	7.4
2024/4/15	18.3	26.5	10.6	0	11.6	2.3	5.6	8.7
2024/4/16	18.3	23.5	14.4	0	8.3	3.9	8.6	15.4
2024/4/17	20.3	25.9	15.3	0	6.2	2	4.3	7.6
2024/4/18	17.7	20.8	12.7	2	0.1	1.8	3.7	6.6
2024/4/19	17.8	23.2	12.8	0	12.3	2	4.4	11.9
2024/4/20	18.7	26.4	9.8	0	9.1	1.8	4.4	7.2
2024/4/21	18.4	23.4	15.1	7	2.3	1.8	3.8	7.2
2024/4/22	14.9	17.2	12.8	7	0	1	2.3	5.6
2024/4/23	16.1	18.1	13.9	2	0	0.8	3.1	4.9
2024/4/24	14.3	15.5	13.4	19	0	1.1	3.2	5.8
2024/4/25	19.6	26.9	12.6	0	10.7	1.3	3.4	6
2024/4/26	19.9	24.7	13.5	0	5.5	1.7	4.2	6.9
2024/4/27	19.4	22.9	16.7	0	0	1.4	3.2	5
2024/4/28	21.2	28.5	14.1	0	11	2.1	5.4	9.8
2024/4/29	20.8	26.2	15.9	0	7	2.8	6.7	11.4
2024/4/30	20.2	24.1	17.9	4.5	0.8	1.6	4	7.3
2024/5/1	16.1	20.5	11.3	23	0	1.4	3.4	8.5
2024/5/2	15.2	20.8	10.4	5	10.1	1.8	3.6	8.2
2024/5/3	17	24	10.4	0	12.6	1.9	5	8.3
2024/5/4	20.1	28.5	12.7	0	13.1	1.9	4.7	8.6
2024/5/5	21	28.2	12.4	0	12.9	3.4	7.4	11.6
2024/5/6	20.4	22.2	18.1	0	0	5.2	7.2	12.7
2024/5/7	19.6	21.9	17.5	2	0	3.6	7.3	12.6
2024/5/8	17.5	24	11.3	5.5	3.5	1.7	5	8.9
2024/5/9	13.4	18.9	9.6	3	5.5	1.6	3.3	7.7
2024/5/10	16.7	23.2	6.9	0	13	2.6	6.3	10.8
2024/5/11	19.3	25.5	11.4	0	11.9	3.4	7.9	14.8
2024/5/12	20.5	23.9	16.3	0	1	4.1	6.7	12.5
2024/5/13	18.3	21.7	14.3	47.5	0	2.3	6.2	12.7
2024/5/14	17	22.1	13.1	0	9	1.4	3.3	7.1
2024/5/15	18.7	25.1	12.1	2	9.1	2.2	5.1	8.7
2024/5/16	18.7	25.1	14.9	8.5	5.4	3.4	10	18
2024/5/17	20.3	26.8	10.6	0	12.9	1.8	3.4	7.4
2024/5/18	21.3	28.3	14.4	0	12.5	2	4.6	8.1
2024/5/19	20.1	23.6	16.6	0	0	1.5	3.6	6.4
2024/5/20	17.1	22	13.5	27.5	1.5	1.1	3	6.8
2024/5/21	21.9	28.4	15.7	2	6.8	1.8	4.7	8.3
2024/5/22	20.1	24.4	16.7	0	6.8	2.2	4.4	7.5
2024/5/23	20.3	24.5	14.9	0	1.5	1.9	5.2	9.1
2024/5/24	22.9	29.9	16.3	0	8.1	1.7	5.1	8.4
2024/5/25	20.5	26.1	17.9	0	1.9	2.5	4.9	7.9
2024/5/26	20.7	25.5	17.3	0	5.5	3.3	6.1	11.6
2024/5/27	21.6	25.4	18.6	0	0.5	3.4	6.8	11.6
2024/5/28	23	26.4	19.8	17	0	3.5	10.2	20.5
2024/5/29	22.1	27.3	17.9	0	5.6	2.5	5.6	9.7
2024/5/30	21.8	27	16.2	0	7.3	2.4	4.9	8.4
2024/5/31	19	21	16.7	21	0	1.1	2.9	6.5
2024/6/1	21	26.6	17.1	0	7.5	2	4.8	7.9
2024/6/2	17.9	22.1	16	16	0	1.3	3.6	6
2024/6/3	17.9	24.2	14.9	21	3.8	1.3	3.4	6.4
2024/6/4	19	24.9	13.7	10.5	5.7	1.4	4	7.1
2024/6/5	20.9	27.9	14.9	0	13.3	1.9	4.5	9.8
2024/6/6	21.7	26.2	18.1	0	4.5	2.3	5.6	9.8
2024/6/7	21.9	26.7	17.8	0	5.5	1.7	4.2	7.5
2024/6/8	22.1	28.4	16	0	11.7	2	5.3	8.9
2024/6/9	21.3	25.6	18.6	0.5	0.1	3	5.5	8.8
2024/6/10	20.7	24.4	17.3	14.5	0.2	1.8	3	5
2024/6/11	23.6	28.5	19	0	12.7	2.7	5.7	10.6
2024/6/12	23.9	29.3	18.9	0	12.8	2.3	4.7	8.3
2024/6/13	22.3	25.4	19.1	0	2.1	1.4	3	5
2024/6/14	25.2	31.9	17.9	0	13.2	2.4	5.2	8.1
2024/6/15	24.8	30.4	21.2	0	7.8	2.2	4.7	7.3
2024/6/16	23.8	29	18.7	3.5	7.6	2	6.4	9.9
2024/6/17	26.1	31.2	22.1	0.5	4.2	1.3	3.7	6.1
2024/6/18	18.6	22.3	17.4	86	0	0.9	2.3	4.8
2024/6/19	23.1	29.9	15.4	0	13.5	2.1	5.7	8.9
2024/6/20	23.5	28.4	18.4	0	5.9	2.4	5.8	9.6
2024/6/21	19.6	22.3	16.8	40	0	1.3	3.1	6.3
2024/6/22	23.8	29.5	15	0	8.6	2.9	6.4	12
2024/6/23	21.6	23.9	19.3	11.5	0	1.5	4.6	8
2024/6/24	27.3	34.7	20.8	0	6.2	1.4	4.5	7.1
2024/6/25	28.1	31.4	25	0	0.5	1.3	4	7
2024/6/26	27.1	31.5	24.5	0	2.2	1.8	4.3	7
2024/6/27	25.2	30.2	22.5	0	2.7	2.3	4.8	8.4
2024/6/28	21.7	22.7	20.8	78.5	0	0.9	3	4.9
2024/6/29	23.9	29.5	20.8	0	4	1.5	4.1	7.1
2024/6/30	25.4	29.6	22.2	1	0	2.7	5.9	11.6
2024/7/1	26.6	29.1	24.8	2	0	2.8	6.1	11.9
2024/7/2	27.7	32.4	23.9	0	4.9	1.4	3.6	6.1
2024/7/3	26.9	33.1	23.1	0	6.2	1.8	4.5	7.4
2024/7/4	29.2	35.5	23.6	4	8.7	1.5	3.5	6.9
2024/7/5	29.8	36.1	25	0	13.7	1.8	4.4	7.9
2024/7/6	28.6	35.5	24.7	0.5	3.8	1.3	3.9	8.9
2024/7/7	30.5	37	24.3	0	12.8	1.3	3.4	6.1
2024/7/8	32.6	39.2	25.9	0	9.2	1.2	3.8	6.5
2024/7/9	29.5	33.4	25.8	0	3.4	1.7	5	8.7
