Date	Ave. tempareture (C)	Highest tempareture (C)	Lowest tempareture (C) 	Precipitation (mm)	Day length (hours)	Ave. wind (m/s)	Maximum wind (m/s)	Maximum instantaneous wind (m/s)
								
2024/1/1	7.6	12	-0.7	0	9.2	2	4.2	9.9
2024/1/2	2.7	8.9	-1.7	0	1.5	0.6	2.4	3.6
2024/1/3	5.4	11.5	-1.5	0.5	0.1	0.7	2.7	4.2
2024/1/4	7.2	14.7	-0.7	0	6.6	1.3	3.9	11.1
2024/1/5	4	12.7	-2.7	0	9.2	0.8	2.4	4.1
2024/1/6	7	15.7	-0.3	0	9.3	0.9	1.8	3.4
2024/1/7	5.8	11.7	0.4	0	7.1	1.5	4.1	8.1
2024/1/8	3.2	9.4	-2.7	0	9.4	1.2	3	7.4
2024/1/9	2	9.5	-4.8	0	9.2	0.7	2.5	5.1
2024/1/10	5.2	12.1	-1	0	7.6	1.3	2.9	7.3
2024/1/11	2.2	7.6	-2.8	0	0.9	0.9	2.3	4.9
2024/1/12	3.8	13.4	-4.3	0	9.3	0.8	2	3.6
2024/1/13	2.8	11.2	-2.7	0.5	6.2	1.1	4.2	9.7
2024/1/14	2.8	11.7	-4.9	0	9.3	1.6	4	8.2
2024/1/15	4.4	11.5	-2.2	0	9.3	1.9	4.1	8.6
2024/1/16	3.3	7.1	-1.4	0	9.6	2.5	5.8	15.1
2024/1/17	3.6	11.3	-2.7	0	9.5	1	2.7	4.6
2024/1/18	7.2	15.9	-0.4	0	8.5	1	2.9	5.1
2024/1/19	8.8	15	4.2	0	7.4	1.4	3.7	7
2024/1/20	4.9	7.1	3.7	5	0	0.9	2.7	4.1
2024/1/21	8.6	14	4.1	23.5	1.9	1.1	2.9	6.3
2024/1/22	8.3	13.8	2.5	0	3.9	1.1	2.8	5.2
2024/1/23	6.9	12.2	2.2	0	6.7	1.4	3.2	6.3
2024/1/24	1.9	5.8	-3.1	0	3.5	1.4	2.9	8.6
2024/1/25	1.5	9	-6.2	0	9.8	1.3	4.1	7.4
2024/1/26	3.2	11.2	-4.9	0	9.7	1.6	3.9	9
2024/1/27	5.4	12.3	-1.2	0	9.7	1.8	3.5	7.6
2024/1/28	3.1	10.1	-2.9	0	5.3	0.9	2.4	4.5
2024/1/29	5.1	11.4	-1.3	0	9.7	1.3	3.7	6
2024/1/30	5.1	12.7	-2.2	0	9.7	0.9	3.1	5.8
2024/1/31	6.4	13.7	-1	0	9.6	1	2.6	4.9
2024/2/1	8.2	17.8	2.6	0	8.8	1.5	4.4	7.2
2024/2/2	3.7	7.1	1.6	0	4.4	1.5	3	5.5
2024/2/3	5.8	11.3	0.2	0	9	1.4	3.7	6.8
2024/2/4	3.9	7.9	-0.5	0	0	0.8	2.8	4
2024/2/5	1.2	4.4	0	24.5	0	0.5	2.9	4.7
2024/2/6	2.4	5.4	-0.6	2.5	0	0.8	2.3	3.6
2024/2/7	2.2	7.7	-3.3	0	9.4	0.9	2.2	3.9
2024/2/8	3.5	9.9	-2.2	0	7.1	1	2.9	5.3
2024/2/9	3.9	10	-1.2	0	7.5	1.1	3.1	5.6
2024/2/10	4.7	11.5	-2	0	7.4	1	2.9	5.1
2024/2/11	5.4	12.2	-1.5	0	6.7	1.5	3.9	6.6
2024/2/12	5.3	12.9	-0.7	0	9.2	1.3	3.6	8
2024/2/13	6.2	15.7	-2.6	0	10.2	0.9	2.2	4.7
2024/2/14	9.8	18.1	0.6	0	8.3	1.1	2.8	5
2024/2/15	13.2	21.4	4.8	0	6.2	2.6	6	11.8
2024/2/16	10	15.9	5.2	0	9.1	2.9	5.4	11
2024/2/17	7.6	11.3	3.5	0	0.4	1	2.2	4
2024/2/18	11.2	17.2	6.8	0.5	6.5	1.6	5.3	10.5
2024/2/19	12.4	17.4	5.4	3	0	2.6	5.8	10.9
2024/2/20	17	24.5	11.6	0	5.6	1.6	4.2	7.7
2024/2/21	8.2	11.6	7.1	2	0	1.5	2.7	4.9
2024/2/22	4.7	7.4	2.8	7.5	0	1.6	3.3	5.3
2024/2/23	1.8	3.1	0.5	5	0	1.3	2.6	4.8
2024/2/24	3.9	9.6	-2.1	0	9.5	1	2.5	5.4
2024/2/25	3.2	4.4	2	11.5	0	0.9	1.7	3.8
2024/2/26	7.1	12.5	3.4	0	10	2.2	4.7	10.4
2024/2/27	6.4	11.1	3.3	0	10.7	3	5.5	13.4
2024/2/28	7.2	15.2	0.5	0	10.2	1.7	3.9	7.6
2024/2/29	5.4	11.9	-1.6	5	6.6	1.1	3.8	7.2
2024/3/1	8.4	16.2	1.3	18.5	4.5	1.2	2.7	6.4
2024/3/2	5.2	9.4	0.6	0	8.3	2	4.6	8.7
2024/3/3	5	13.1	-3	0	10.7	1.4	4.6	7.8
2024/3/4	6	14	-1.8	0	10.5	1.4	3.7	7
2024/3/5	3.7	8.1	0.3	16	0	0.9	2.4	4.5
2024/3/6	5.4	9.6	0.4	8	0.1	1.7	2.8	6.2
2024/3/7	6	10.1	3.7	0	0.3	2	3.7	6.5
2024/3/8	3.8	9.3	0.2	8	0.8	1	3.1	4.7
2024/3/9	3.7	9.6	-1.5	0	8.7	1.5	4.3	9.8
2024/3/10	4.4	12.5	-2.6	0	10.4	1.4	4.4	10.8
2024/3/11	5.5	13.5	-3.2	0	9	1.2	4.1	6.8
2024/3/12	6.4	10	4	19	0	1.3	3.6	7.4
2024/3/13	8.3	13.3	1.5	0	10.7	2.3	4.8	11.7
2024/3/14	7.5	15.5	-0.9	0	11.1	1.4	3.3	6.3
2024/3/15	9.5	16.9	1	0	11.3	1.8	5	9.7
2024/3/16	12	21	3.2	0	11.2	1.8	4.6	9.5
2024/3/17	13.2	21.4	4.2	0	8.1	1.5	4.9	10
2024/3/18	8.5	13.6	3.1	0	11.4	3	5.8	14.3
2024/3/19	6.8	12.5	1	0	7.1	2.1	4.6	10
2024/3/20	5.7	13.7	-0.8	0	6.5	2.3	5.8	14.1
2024/3/21	4.8	10.1	-1.6	0	10.9	2.3	4.3	12.8
2024/3/22	4.6	11.2	-3.2	0	11.6	1.5	4.7	9.7
2024/3/23	4.8	11.3	-1.3	0	5.5	0.9	3.1	5.2
2024/3/24	9.1	15	1.4	0	0.6	1.3	3.6	6.8
2024/3/25	10.5	11.8	9.3	3.5	0	0.7	2.2	5.1
2024/3/26	8.4	10.4	5.9	41	0	1.3	4.1	8.1
2024/3/27	9.3	15.6	2	0	11	1.8	4.7	7.9
2024/3/28	8.3	13	3.4	16.5	0	1.1	3.3	6.5
2024/3/29	15	21	8	25	1.8	2.6	8.2	15.1
2024/3/30	16.3	24.4	7.9	0	9.9	1.4	3.7	5.8
2024/3/31	17.4	27.7	8.3	0	10.1	1.5	4.3	7.6
2024/4/1	14	18.8	9	1	2.5	1.7	4.2	7.3
2024/4/2	12.3	19.3	4.1	0	10.9	1.6	4.1	7.8
2024/4/3	10.8	13.3	9.2	6.5	0	0.8	1.8	3.2
