Date	Ave. tempareture (C)	Highest tempareture (C)	Lowest tempareture (C) 	Precipitation (mm)	Day length (hours)	Ave. wind (m/s)	Maximum wind (m/s)	Maximum instantaneous wind (m/s)
								
2024/1/1	9.2	12.5	4.4	0	8.9	4	9.7	19
2024/1/2	6.1	9.2	2.8	0	1.7	1.8	3.9	6
2024/1/3	7.4	11	2.8	0	0.5	1.5	2.9	4.5
2024/1/4	9.7	15.3	6.3	0	6.6	3.1	8.4	15.6
2024/1/5	7.4	13.6	2.9	0	8.6	1.7	3.4	5.2
2024/1/6	9.1	15.6	3	0	8.9	1.4	4.1	7.7
2024/1/7	8.3	12.7	5.7	0	3.2	2.1	5.3	9.9
2024/1/8	5.4	10.2	2.7	0	8.8	3.4	8.2	15.5
2024/1/9	5.4	11	1.5	0	8.8	1.8	3.4	6.4
2024/1/10	7.2	12.3	1.7	0	6.5	1.8	4.1	8.3
2024/1/11	4.8	7.2	1.8	0	0.6	2.5	4.9	8.9
2024/1/12	7.1	13.7	0.1	0	9	1.5	3.1	6.4
2024/1/13	5.9	11.7	1.2	2	5.2	2.8	7.5	15
2024/1/14	6.4	10.5	0.2	0	9.1	4	7.3	13.2
2024/1/15	6.3	11.4	2.4	0	8.1	3.7	7.1	14.7
2024/1/16	3.7	7	0	0	7.7	3.9	10.3	20.2
2024/1/17	6.2	12.2	0.8	0	9.1	1.5	3	5.1
2024/1/18	8.5	13.4	2.5	0	4	1.4	3.4	5.7
2024/1/19	10.2	15.1	7.6	0	7.4	2.2	5.1	9.7
2024/1/20	6.3	7.6	4.6	2.5	0	2.7	4.6	8.5
2024/1/21	8.1	12.1	4.6	31.5	0.6	2.9	6.6	14
2024/1/22	10.7	14.6	6.7	0	4.3	2.1	3.9	7.1
2024/1/23	9	13.9	5.5	0	7.9	2.1	4.9	8.2
2024/1/24	4.5	8.4	1.1	0	5.8	4.4	8.6	17.5
2024/1/25	4.2	9.6	-1.1	0	9.3	3.9	9.2	18.1
2024/1/26	6.2	12	1.8	0	9.4	4.7	8.2	14.1
2024/1/27	7.2	12.2	2.9	0	9.2	3.5	6.9	13.7
2024/1/28	6	9.6	2.8	0	1.7	1.6	3.2	5.3
2024/1/29	6.8	11.9	2.4	0	9.3	1.9	3.7	6.7
2024/1/30	7.7	13.3	4	0	9	1.7	4.2	5.5
2024/1/31	9.3	14.1	2.7	0	9.3	2.1	4.5	8.8
2024/2/1	9.8	16.3	5	0	5	3.4	8.4	15.5
2024/2/2	5	7.6	3.3	0	0.4	2.6	5.7	12.3
2024/2/3	6.9	11.7	3.4	0	8.7	2.6	5.2	11.1
2024/2/4	4.9	6.9	2.6	5	0	1.7	4.8	10
2024/2/5	3	6.2	0.3	35	0	2.5	7.2	13.7
2024/2/6	3.4	5.4	0.8	2	0	2.2	4.5	10.1
2024/2/7	4.7	9.6	-0.1	0	9.2	1.5	2.9	5
2024/2/8	5.7	11.3	1.2	0	6.9	2	5	9.7
2024/2/9	6.8	11.3	2.5	0	6.9	2.1	3.8	6.9
2024/2/10	7.1	12.4	1.8	0	9.5	2.1	4.5	8.9
2024/2/11	8.1	12.8	4.3	0	6.4	2.8	5.1	10.4
2024/2/12	7.3	12.7	3.6	0	9	2.2	5.1	9.2
2024/2/13	9.6	17.3	1.6	0	9.7	2.7	7.6	12.6
2024/2/14	10.9	18.5	4.2	0	8.1	1.4	3.8	5.4
2024/2/15	14.4	21.1	6.1	0	7.7	4	10.3	18.8
2024/2/16	10.6	17	6.2	0	8.8	4.6	8.6	17.4
2024/2/17	9	13.6	4.6	0	2.1	2.3	4.4	8.9
2024/2/18	13.4	18.8	9.2	0	6.9	2.4	6	9.4
2024/2/19	15	17.2	12.8	5	0.1	4.5	8	15.1
2024/2/20	18.1	23.7	12.8	0	5.2	3.5	8.4	16.6
2024/2/21	8.7	13.2	7.3	5.5	0	2.7	5.4	9.4
2024/2/22	5.5	8	3.6	6.5	0	2.9	5.1	10.1
2024/2/23	2.8	4	1.7	6.5	0	2.9	4.5	8.2
2024/2/24	5.3	10.3	1.2	0	9.5	2.2	4	7.4
2024/2/25	4.4	5.8	3.5	8.5	0	2.9	5.3	9.7
2024/2/26	7.8	13.3	4.8	0.5	9.4	5.5	10.7	20.2
2024/2/27	7	11.4	4.1	0	10.7	7.3	13.2	26.2
2024/2/28	8.3	14.4	4.1	0	10.8	4	7.1	14.2
2024/2/29	7.6	11.8	3.5	4	1.4	2	3.8	6.6
2024/3/1	9.9	16.4	3.7	15.5	6.2	3.2	7.2	14.5
2024/3/2	6.3	10.1	3.9	0	2.5	3.6	7.4	13.9
2024/3/3	7.5	13.4	1.2	0	10.3	2.7	5.6	10.7
2024/3/4	9.4	15.7	2.9	0	10.6	1.9	3.7	7.6
2024/3/5	6.4	9.1	2	19	0	2	4	9.8
2024/3/6	5.6	10.4	2	11	0.4	3.4	5.6	10.9
2024/3/7	6.9	10.7	4.9	0	2.3	2.5	4.6	9.6
2024/3/8	4.5	9.4	0.4	19	1.6	1.8	3.6	6.3
2024/3/9	6.1	11.2	2.6	0	10.7	3.7	8.2	17.8
2024/3/10	6.7	13.6	0.5	0	11	2.9	5.6	10.3
2024/3/11	8.2	13.8	1.8	0	8.8	2.5	5.2	8.5
2024/3/12	7.8	10	6.1	36	0	2.6	8.6	14.9
2024/3/13	9.5	13.7	6.7	0	10.7	4.2	8.1	16.1
2024/3/14	9.5	15.6	2.8	0	11.3	2.4	5.7	8.8
2024/3/15	11.8	17.6	6.2	0	11.2	2.8	7.3	11.2
2024/3/16	14.8	22.7	10.8	0	10.8	3.3	7.8	12.2
2024/3/17	16	21.7	9.8	0	8.6	3.6	9.6	16.8
2024/3/18	9.5	14.6	4.1	0	11.2	5.8	9.6	21.1
2024/3/19	8.4	12.4	3.7	0	4.6	4.1	7	13.6
2024/3/20	8.5	15.7	4.7	1	7.8	4.4	12.9	25.3
2024/3/21	6.5	11.4	3.4	0	11.6	6	10.3	17.7
2024/3/22	7.2	13.3	1.8	0	11.7	3.4	8.8	14.2
2024/3/23	5.7	9.3	2.6	0.5	0.4	1.6	2.9	5.2
2024/3/24	10.2	15.5	4.2	1	0.6	1.6	4	6
2024/3/25	11.3	12.5	10.8	9	0	1.5	3.2	5.4
2024/3/26	9.4	12.3	6.1	45	0	2.6	6.1	14.2
2024/3/27	10.9	16.5	6	0	10.9	3.2	6	12.2
2024/3/28	10.9	14.6	7.2	2.5	0.4	2.5	6.9	11.9
2024/3/29	16.3	22.2	11.7	29	4.2	4.8	10.2	21.8
2024/3/30	17.8	24.6	12.3	0	10.5	2.1	4.8	7.5
2024/3/31	19.5	28.1	12.2	0	10.7	3.2	6.1	12
2024/4/1	14.6	19.7	11.8	3	3.8	2.8	6.3	11.4
2024/4/2	14.2	20.6	8.4	0	10.6	3	6.1	10.9
2024/4/3	13.9	16.6	12.3	11.5	0	1.6	3.9	6.7
2024/4/4	15.4	19.9	11.3	4	0.1	2	4.7	7.7
2024/4/5	11.4	15.1	9	0.5	0	2.8	4.9	9.3
2024/4/6	12.7	15.8	9	0	0	1.8	3.5	5.9
2024/4/7	17	22.6	13.1	1.5	8.2	2.1	4.9	7.8
2024/4/8	18.8	23.2	15.4	0	2.3	2	5.6	7.8
2024/4/9	15.6	19.8	9.7	55.5	0	4.4	11	23.7
2024/4/10	11.7	17.8	7.4	0	11.9	3.2	6.1	10.8
2024/4/11	14	19.8	7.7	0	9.3	2.5	5.9	8.5
2024/4/12	15	18.2	12.8	2.5	1.8	2.3	4.5	8.6
2024/4/13	16.4	22.7	11.1	0	10.5	2.3	4.2	8.4
2024/4/14	18	24.8	12.7	0	11.5	2.2	5.7	7.7
2024/4/15	19.4	26.8	14	0	11.4	2.8	5.5	9.3
2024/4/16	19.2	23.4	15.9	0	6.5	5.3	10.4	17.5
2024/4/17	20.1	25.5	16.5	0	5.5	3	6.6	12.2
2024/4/18	17.9	21.4	14.3	1.5	0.3	2.7	4.5	8.3
2024/4/19	18.3	23.6	14.1	0	11.6	5.6	10.6	19.8
2024/4/20	19.4	26.1	12.7	0	8.9	2.5	5.1	7.3
2024/4/21	18.4	23.3	14.9	5	2.2	2.6	5.7	8.5
2024/4/22	15.6	18.6	13.2	7	0.1	2.2	3.7	6.6
2024/4/23	16.9	19.4	14.8	0	0.5	2.1	4.3	8.1
2024/4/24	15	16.5	13.9	20.5	0	2.1	5	7.9
2024/4/25	19.5	25.8	13.8	0.5	9.8	2.2	4.9	8.3
2024/4/26	20.3	25.1	15.1	0	2.5	2.4	5.2	8.5
2024/4/27	19.5	23.2	16.6	0	0	1.9	4.5	6.3
2024/4/28	21.6	28.2	15.7	0	11.5	2.7	6.2	9.7
2024/4/29	21.2	25.8	17.4	0	8	3.7	7.6	13.3
2024/4/30	20.9	25.2	18.2	2.5	1.5	2.4	5.2	8.2
2024/5/1	16.5	21.2	11.8	26.5	0	3	7	14.2
2024/5/2	15.3	21.7	10.8	3	7.7	2.9	5.3	11.3
2024/5/3	17.7	24.2	11.4	0	12.4	2.6	5.5	9.5
2024/5/4	20.9	27.8	14.8	0	12.4	2.4	5.5	8.5
2024/5/5	21.5	27.7	15.4	0	12.6	3.8	7.3	12.6
2024/5/6	20.9	23.6	19.1	0	0.9	5.7	8.3	14.9
2024/5/7	20	22.2	18.6	5	0	4.1	7.5	14
2024/5/8	17.8	23.8	11.4	8	1.3	2.8	6	11.9
2024/5/9	13.7	18.9	10.2	1.5	5.8	2.5	5.8	9.2
2024/5/10	17.5	24.4	8.7	0	12.8	3.5	6.9	11.6
2024/5/11	20.3	25.9	14.1	0	13	5.4	10.1	16.9
2024/5/12	21.1	24.8	17.3	0	3.7	4.8	8.5	13.3
2024/5/13	19.3	22	15.4	58.5	0	3.8	8.2	15.2
2024/5/14	16.9	21.6	12.2	0	8.2	2.6	4.9	8.9
2024/5/15	19.4	25.7	13.8	1.5	8.6	2.7	5.8	9.5
2024/5/16	18.7	25.1	14.7	10	5.1	4	9.4	18.6
2024/5/17	20.6	27.2	13.4	0	12.9	2.8	5.9	9.2
2024/5/18	21.9	28.8	16.2	0	12.5	2.5	5.5	7.9
2024/5/19	20.8	24.1	17.7	0	0	1.8	3.9	6.6
2024/5/20	17.4	21.4	14.4	34	0.8	1.9	5.5	10
2024/5/21	22.5	28.9	16.9	0	7.9	2.8	6.6	11.5
2024/5/22	20.6	25.3	18	0	6.5	3.5	5.8	9.2
2024/5/23	21.4	25.2	18.1	0	1.8	3	5.4	8.8
2024/5/24	23.3	29	18.1	0	9.3	2.5	5.9	9.7
2024/5/25	21.4	25.8	18.3	0	6.7	3.3	7.1	11
2024/5/26	21.6	26.6	17.6	0	8.7	3.6	6.6	11.7
2024/5/27	22.3	25.1	20.3	0	0.4	4.3	7.6	13.2
2024/5/28	24	25.9	22.4	19	0.1	5.2	10.2	22.4
2024/5/29	22	25.8	18.8	0.5	7.9	3.7	7.1	13
2024/5/30	22.5	27.3	17.5	0	5.4	3	5.9	9.5
2024/5/31	19	21.7	16.6	34	0.1	2.1	4.8	7.9
2024/6/1	20.9	26.3	17.4	0	7	2.6	6.4	9.8
2024/6/2	18.7	24.6	16.2	45.5	2.9	2.3	6	9.4
2024/6/3	18.3	24.3	15	25.5	2.4	2.2	4.8	9.1
2024/6/4	19.5	25.5	14.8	0	7.8	2.5	5.5	9.8
2024/6/5	21.4	27.4	16.4	0	11.9	2.7	8	13.3
2024/6/6	22	27	18.1	0	3.8	3	7	10.9
2024/6/7	22.1	26.7	18.1	0	5.1	2.7	5.6	9.3
2024/6/8	22.8	28.2	17.4	0	11.8	2.7	6.2	9.6
2024/6/9	22.4	25.7	19.9	0.5	0.2	3.6	6	9.9
2024/6/10	20.7	24.7	17.4	17	0.7	2.4	4.3	8.6
2024/6/11	24	29	19.5	0	12.8	3.2	6.2	10.3
2024/6/12	24.6	30.1	20	0	10.4	3.1	5.8	9.5
2024/6/13	22.6	25.4	20	0	1.6	2	4.7	6.5
2024/6/14	25.9	31.7	19.5	0	12.7	2.7	6.5	9.2
2024/6/15	24.8	29.9	20.9	0.5	8	2.8	6.6	9.7
2024/6/16	23.7	28.7	19.7	5.5	6.8	2.5	7.2	11.3
2024/6/17	26	30.5	22.5	0	4.6	2.1	5.5	8.1
2024/6/18	19.2	22.5	18	98	0	2	4.1	7.1
