Countries	Per_Person[L/person]	Total[Thousand_KL]
Australia	71.5582674	182.4735819
Austria	96.83400688	87.15060619
Belgium	53.00896552	61.4904
Bosnia-Herzegovina	63.32965008	20.89878453
Brazil	65.13306957	1384.729059
Bulgaria	76.02953113	52.46037648
Canada	52.48643471	197.8738589
Congo	79.03636364	43.47
Croatia	72.20546457	29.60424048
Czech-Republic	181.9046262	194.63795
Denmark	62.02743096	35.97590995
Estonia	86.42076295	11.23469918
Finland	77.76353091	42.769942
Gabon	80.86363636	17.79
Germany	92.42922129	774.5568744
Hungary	68.02684824	65.98604279
Japan	34.90757312	441.5808
Latvia	77.4295512	14.71161473
Lithuania	84.07554972	22.70039843
Mexico	64.2875354	828.6663312
Myanmer	7.8	42.5
Namibia	84.84	21.21
Netherlands	67.25403509	115.0044
New-Zealand	60.32443423	28.95572843
Panama	52.07189479	22.39091476
Phillipines	13.3	146.1836107
Poland	96.09813085	363.2509346
Puerto-Rico	57.07455248	16.55162022
Republic-of-Ireland	81.63265306	40
Romania	95.19868944	182.7814837
Russia	59.25865516	864.5837788
Slovak-Republic	81.67423146	44.92082731
Slovenia	69.21952381	14.5361
Spain	81.52336452	381.529346
Sweden	50.63292386	51.1392531
Switzerland	52.07004598	45.30094
U.K.	60.21116053	408.83378
U.S.A.	72.82508317	2410.510253
